Pers	Cluster 0	Cluster 1	Cluster 2	Total
feval_vampire. _	0	26	0	26
feval_vampire. papaSeverin	0	2	0	2
chevalier_filledupirate. _	286	286	1	573
chevalier_filledupirate. pers1	12	3	7	22
chevalier_filledupirate. pers3	0	0	1	1
chevalier_filledupirate. pers5	0	1	1	2
chevalier_filledupirate. pers2	3	3	4	10
chevalier_filledupirate. pers7	1	0	0	1
chevalier_filledupirate. pers8	0	0	1	1
chevalier_filledupirate. pers9	0	3	0	3
chevalier_filledupirate. pers4	6	1	0	7
chevalier_filledupirate. pers6	7	4	2	13
chevalier_filledupirate. pers11	16	4	2	22
chevalier_filledupirate. pers12	12	12	4	28
chevalier_filledupirate. pers13	0	1	1	2
chevalier_filledupirate. pers14	1	1	0	2
chevalier_filledupirate. pers15	8	4	0	12
chevalier_filledupirate. pers16	1	0	1	2
chevalier_filledupirate. pers10	7	18	3	28
chevalier_filledupirate. pers18	2	13	4	19
chevalier_filledupirate. pers19	2	1	1	4
chevalier_filledupirate. pers20	1	0	4	5
chevalier_filledupirate. pers21	0	2	1	3
chevalier_filledupirate. pers22	0	2	0	2
chevalier_filledupirate. pers23	0	3	1	4
chevalier_filledupirate. pers24	0	0	1	1
chevalier_filledupirate. pers25	6	31	10	47
chevalier_filledupirate. pers26	21	10	0	31
chevalier_filledupirate. pers27	1	1	0	2
chevalier_filledupirate. pers28	0	2	0	2
chevalier_filledupirate. pers29	4	0	0	4
chevalier_filledupirate. pers30	0	4	0	4
chevalier_filledupirate. pers31	0	1	0	1
chevalier_filledupirate. pers32	0	1	0	1
chevalier_filledupirate. pers33	2	1	0	3
chevalier_filledupirate. pers34	0	0	2	2
flaubert_madamebovary. _	0	82	12	94
flaubert_madamebovary. pers1	0	2	0	2
flaubert_madamebovary. pers2	0	10	2	12
flaubert_madamebovary. pers3	0	1	0	1
flaubert_madamebovary. pers4	0	1	0	1
flaubert_madamebovary. pers5	0	1	0	1
flaubert_madamebovary. pers6	0	4	1	5
flaubert_madamebovary. pers7	0	1	0	1
flaubert_madamebovary. pers8	0	0	1	1
merimee_carmen. _	141	93	3	237
merimee_carmen. pers1	8	6	0	14
merimee_carmen. pers2	4	4	2	10
merimee_carmen. pers14	0	0	1	1
merimee_carmen. pers4	0	0	2	2
merimee_carmen. pers6	4	34	39	77
merimee_carmen. pers7	1	1	0	2
merimee_carmen. pers3	11	26	8	45
merimee_carmen. pers10	0	5	1	6
merimee_carmen. pers8	0	0	2	2
merimee_carmen. pers9	6	1	0	7
merimee_carmen. pers11	0	1	0	1
merimee_carmen. pers12	0	1	4	5
merimee_carmen. pers13	0	2	2	4
merimee_carmen. pers15	0	5	0	5
merimee_carmen. pers16	0	2	0	2
merimee_venusdille. _	76	93	3	172
merimee_venusdille. pers1	14	32	15	61
merimee_venusdille. pers2	9	28	0	37
merimee_venusdille. pers3	12	34	10	56
merimee_venusdille. pers4	0	0	5	5
merimee_venusdille. pers5	0	0	5	5
merimee_venusdille. pers6	0	1	3	4
merimee_venusdille. pers7	4	18	4	26
merimee_venusdille. pers8	0	0	4	4
merimee_venusdille. pers10	3	1	0	4
merimee_venusdille. pers11	1	7	0	8
merimee_venusdille. pers12	0	2	0	2
merimee_venusdille. pers13	0	2	0	2
zeltner_contes. _	44	33	2	79
zeltner_contes. mere	0	0	1	1
zeltner_contes. Koli	6	21	6	33
zeltner_contes. marchands	3	7	2	12
zeltner_contes. chef	0	7	0	7
zeltner_contes. assistants	0	1	3	4
zeltner_contes. meremarchand	0	1	0	1
zeltner_contes. marchand	2	3	0	5
zeltner_contes. vxpere	1	3	1	5
zeltner_contes. sofas	0	1	0	1
zeltner_contes. roi	0	1	2	3
Total	749	1020	198	1967
